word, 平仮名, hiragana, english, chinese
土曜日, どようび, doyoubi, Saturday, 星期六
日曜日, にちようび, nichiyoubi, Sunday, 星期日
部屋, へや, heya, Room, 房间
庭, にわ, niwa, Garden, 花园
家, いえ, ie, House, 
居間, いま, ima, Living room, 客厅
冷蔵庫, れいぞうこ, reizouko, Refrigerator, 冰箱
壁, かべ, kabe, Wall, 墙
本棚, ほんだな, hondana, Bookshelf, 书架
猫, ねこ, neko, Cat, 猫
犬, いぬ, inu, Dog, 狗
鳥, とり, tori, Bird, 鸟
魚, さかな, sakana, Fish, 鱼
箱, はこ, hako, Box, 盒子
眼鏡, めがね, megane, Glasses, 眼镜
子供, こども, kodomo, Child, 孩子
兄弟, きょうだい, kyoudai, Siblings, 兄弟姐妹
両親, りょうしん, ryoushin, Parents, 父母
男, おとこ, otoko,,
女, おんな, onna,,
生徒, せいと, seito, Student, 学生
上, うえ, ue, Up, 上
下, した, shita, Down, 下
左, ひだり, hidari, Left, 左
右, みぎ, migi, Right, 右
中, なか, naka, Middle, 中
外, そと, soto, Outside, 外
前, まえ, mae, Front, 前
後ろ, うしろ, ushiro, Back, 后面
横, よこ, yoko, Side, 旁边
御飯, ごはん, gohan, Rice, 米饭
教室, きょうしつ, kyoushitsu, Classroom, 教室
売店, ばいてん, baiten, Shop, 小卖部
先週, せんしゅう, senshuu, Last week, 上周
今週, こんしゅう, konshuu, This week, 本周
来週, らいしゅう, raishuu, Next week, 下周
再来週, さらいしゅう, sarai shuu, Week after next, 下下周
毎日, まいにち, mainichi, Every day, 每天
毎週, まいしゅう, maishuu, Every week, 每周
毎朝, まいあさ, maiasa, Every morning, 每天早上
毎晩, まいばん, maiban, Every evening, 每天晚上
午前, ごぜん, gozen, Morning, 上午
午後, ごご, gogo, Afternoon, 下午
今朝, けさ, kesa, This morning, 今天早上
来年, らいねん, rainen, Next year, 明年
去年, きょねん, kyonen, Last year, 去年
夜, よる, yoru, Night, 夜
昼, ひる, hiru, Daytime, 白天
晩御飯, ばんごはん, bangohan, Dinner, 晚饭
朝御飯, あさごはん, asagohan, Breakfast, 早餐
昼御飯, ひるごはん, hirugohan, Lunch, 午餐
おやつ, おやつ, oyatsu, Snack, 点心
学校, がっこう, gakkou, School, 学校
試験, しけん, shiken, Exam, 考试
仕事, しごと, shigoto, Work, 工作
遅刻, ちこく, chikoku, Late, 迟到
休み, やすみ, yasumi, Rest, 休息
休暇, きゅうか, kyuuka, Vacation, 假期
研修, けんしゅう, kenshuu, Training, 培训
展覧会, てんらんかい, tenrankai, Exhibition, 展览会
歓迎会, かんげいかい, kangeikai, Welcome party, 欢迎会
送別会, そうべつかい, soubetsukai, Farewell party,
お宅, おたく, otaku, Your home, 贵宅
いつ, いつ, itsu, When, 什么时候
何時, なんじ, nanji, What time, 几点
休みます, やすみます, yasumimasu, To rest, 休息
働きます, はたらきます, hatarakimasu, To work, 工作
勉強します, べんきょうします, benkyou shimasu, To study, 学习
始まります, はじまります, hajimarimasu, To begin, 开始
終わります, おわります, owarimasu, To finish, 结束
起きます, おきます, okimasu, To get up, 起床
寝ます, ねます, nemasu, To sleep, 睡觉
帰ります, かえります, kaerimasu, To return, 回家
出かけます, でかけます, dekakemasu, To go out, 出门
北京支社, ぺきんししゃ, pekin shisha,, 北京分公司
神戸, こうべ, koube, Kobe, 神户
誕生日, たんじょうび, tanjoubi, Birthday, 生日
時刻, じこく, jikoku, Time, 时间
一時, いちじ, ichiji, One o'clock, 一点
二時, にじ, niji, Two o'clock, 两点
三時, さんじ, sanji, Three o'clock, 三点
四時, よじ, yoji, Four o'clock, 四点
五時, ごじ, goji, Five o'clock, 五点
六時, ろくじ, rokuji, Six o'clock, 六点
七時, しちじ, shichiji, Seven o'clock, 七点
八時, はちじ, hachiji, Eight o'clock, 八点
九時, くじ, kuji, Nine o'clock, 九点
十時, じゅうじ, juuji, Ten o'clock, 十点
十一時, じゅういちじ, juuichiji, Eleven o'clock, 十一点
いつ分, いつぷん, itsupun, one minute, 一分
二分, にふん, nifun, Two minutes, 两分
三分, さんぷん, sanpun, Three minutes, 三分
四分, よんぷん, yonpun, Four minutes, 四分
五分, ごふん, gofun, Five minutes, 五分
六分, ろっぷん, roppun, Six minutes, 六分
七分, ななふん, nanafun, Seven minutes, 七分
八分, はっぷん, happun, Eight minutes, 八分
九分, きゅうふん, kyuufun, Nine minutes, 九分
十分, じゅっぷん, juppun, Ten minutes, 十分
十一分, じゅういっぷん, juuippun, Eleven minutes, 十一分钟
