word, 平仮名, hiragana, english, chinese
だいろっかい, だいろっかい, dairokkai, The sixth time, 第六回
来月, らいげつ, raigetsu, Next month, 下个月
先月, せんげつ, sengetsu, Last month, 上个月
夜中, よなか, yonaka, Midnight, 半夜
昨夜, ゆうべ, yuube, Last night, 昨晚
子供のひ, こどものひ, kodomo no hi, Children's Day, 儿童节
ちちのひ, ちちのひ, chichi no hi, Father's Day, 父亲节
ははのひ, ははのひ, haha no hi, Mother's Day, 母亲节
夏休み, なつやすみ, natsu yasumi, Summer vacation, 暑假
冬休み, ふゆやすみ, fuyu yasumi, Winter vacation, 寒假
春休み, はるやすみ, haru yasumi, Spring vacation, 春假
交通機関, こうつうきかん, koutsuu kikan, Transportation, 交通工具
新幹線, しんかんせん, shinkansen, Bullet train, 新干线
飛行機, ひこうき, hikouki, Airplane, 飞机
電車, でんしゃ, densha, Train, 电车
美術館, びじゅつかん, bijutsukan, Art museum, 美术馆
行きます, いきます, ikimasu, To go, 去
来ます, きます, kimasu, To come, 来
買います, かいます, kaimasu, To buy, 买
売ります, うります, urimasu, To sell, 卖
確か, たしか, tashika, If I remember correctly, 确实
なるほど, なるほど, naruhodo, I see, 原来如此
一緒に, いっしょに, isshoni, Together, 一起
北海道, ほっかいどう, hokkaidou, Hokkaido, 北海道
雪, ゆき, yuki, Snow, 雪
箱根, はこね, hakone, Hakone, 箱根
温泉, おんせん, onsen, Hot spring, 温泉
銀座, ぎんざ, ginza, Ginza, 银座
お疲れ様でした, おつかれさまでした, otsukaresama deshita, Thank you for your hard work, 辛苦了
広島, ひろしま, hiroshima, Hiroshima, 广岛
お先に失礼します, おさきにしつれいします, osaki ni shitsurei shimasu, Excuse me for leaving before you, 我先告辞了
歩いて, あるいて, aruite, On foot, 步行
大変ですね, たいへんですね, taihen desu ne, That's tough, 受够了
歳月, さいげつ, saigetsu, Months and years, 岁月
動詞, どうし, doushi, Verb, 动词
お粥, おかゆ, okayu, Rice porridge, 稀饭
昼ご飯, ひるごはん, hirugohan, Lunch, 午饭
晩ご飯, ばんごはん, bangohan, Dinner, 晚饭
牛乳, ぎゅうにゅう, gyuunyuu, Milk, 牛奶
お弁当, おべんとう, obentou, Boxed lunch, 便当
朝ご飯, あさごはん, asagohan, Breakfast, 早饭
うどん, うどん, udon, Udon noodles, 乌冬面
親子丼, おやこどん, oyakodon, Chicken and egg bowl, 鸡肉鸡蛋盖饭
卵, たまご, tamago, Egg, 鸡蛋
玉子, たまご, tamago, Egg, 鸡蛋
蕎麦屋, そばや, sobaya, Soba noodle shop, 荞麦面店
野球, やきゅう, yakyuu, Baseball, 棒球
申込書, もうしこみしょ, moushikomi sho, Application form, 申请书
手紙, てがみ, tegami, Letter, 信
音楽, おんがく, ongaku, Music, 音乐
映画, えいが, eiga, Movie, 电影
動物園, どうぶつえん, doubutsuen, Zoo, 动物园
飲みます, のみます, nomimasu, To drink, 喝
食べます, たべます, tabemasu, To eat, 吃
撮ります, とります, torimasu, To take (a photo), 拍照
会います, あいます, aimasu, To meet, 见面
泳ぎます, およぎます, oyogimasu, To swim, 游泳
手紙を書きます, てがみをかきます, tegami o kakimasu, To write a letter, 写信
新聞を読みます, しんぶんをよみます, shinbun o yomimasu, To read a newspaper, 读报纸
聞きます, ききます, kikimasu, To listen, 听
話します, はなします, hanashimasu, To speak, 说
見ます, みます, mimasu, To see, 看
します, します, shimasu, To do, 做
掃除します, そうじします, souji shimasu, To clean, 打扫
これから, これから, kore kara, From now on, 从现在起
また来ます, またきます, mata kimasu, I'll come again, 我还会再来的
日本へよくそ, にほんへようこそ, nihon e youkoso, Welcome to Japan, 欢迎来到日本
いっできます, いってきます, ittekimasu, I'm off, 我出去了
いっでらっしゃい, いってらっしゃい, itterasshai, See you later, 路上小心
ただいま, ただいま, tadaima, I'm home, 我回来了
お帰りなさい, おかえりなさい, okaerinasai, Welcome home, 欢迎回家
お邪魔します, おじゃまします, ojama shimasu, Excuse me for disturbing you, 打扰了
お邪魔しました, おじゃましました, ojama shimashita, Thank you for having me, 打扰了
午前中, ごぜんちゅう, gozenchuu, In the morning, 上午
うち, うち, uchi, home; my place, 家
切符, きっぷ, kippu, ticket, 票
記念品, きねんひん, kinenhin, souvenir, 纪念品
写真集, しゃしんしゅう, shashinshuu, photo album, 相册
花屋, はなや, hanaya, flower shop, 花店
お金, おかね, okane, money, 钱
宿題, しゅくだい, shukudai, homework, 作业
航空便, こうくうびん, koukuubin, airmail, 航空邮件
速達, そくたつ, sokutatsu, express mail, 快递
電話番号, でんわばんごう, denwabangou, phone number, 电话号码
住所, じゅうしょ, juusho, address, 地址
名前, なまえ, namae, name, 名字
事件, じけん, jiken, incident; case, 事件
新聞紙, しんぶんし, shinbunshi, newspaper, 报纸
紙飛行機, かみひこうき, kamihikouki, paper airplane, 纸飞机
小麦粉, こむぎこ, komugiko, flour, 面粉
はし, はし, hashi, chopsticks, 筷子
お箸, おはし, ohashi, chopsticks (polite), 筷子（礼貌）
夕方, ゆうがた, yuugata, evening, 傍晚
昼休み, ひるやすみ, hiruyasumi, lunch break, 午休
送ります, おくります, okurimasu, to send, 发送
作ります, つくります, tsukurimasu, to make; to produce, 制作
太ります, ふとります, futorimasu, to gain weight, 增重
痩せます, やせます, yasemasu, to lose weight, 减肥
結婚します, けっこんします, kekkonshimasu, to get married, 结婚
卒業します, そつぎょうします, sotsugyoushimasu, to graduate, 毕业
