word, 平仮名, hiragana, english, chinese
失礼します, しつれいします, shitsurei shimasu, excuse me; goodbye, 告辞了; 我走了
失礼しました, しつれいしました, shitsurei shimashita, sorry to have disturbed you, 打搅了; 失礼了
行ってまいります, いってまいります, itte mairimasu, I'm off (humble), 我走了
行ってきます, いってきます, itte kimasu, I'm off, 我走了
行ってらっしゃい, いってらっしゃい, itterasshai, take care; see you, 你走好
かしこまりました, かしこまりました, kashikomarimashita, certainly; understood, 我知道了
ください, ください, kudasai, please give me, 给我
花, はな, hana, flower, 花
切手, きって, kitte, postage stamp, 邮票
お兄さん, おにいさん, oniisan, older brother, 哥哥
韓国語, かんこくご, kankokugo, Korean language, 韩语
出します, だします, dashimasu, to send; to mail; to hand in, 寄; 交
どうですか, どうですか, dou desu ka, how about it?; how is it?, 怎样; 如何
お願いします, おねがいします, onegai shimasu, please; I request, 拜托了
わかりました, わかりました, wakarimashita, understood; got it, 明白了
陳, ちん, chin, Chen (surname), 陈
料理, りょうり, ryouri, cooking; dish, 菜肴; 饭菜
四川料理, しせんりょうり, shisen ryouri, Sichuan cuisine, 四川菜
食べ物, たべもの, tabemono, food, 食物; 食品
すき焼き, すきやき, sukiyaki, sukiyaki, 日式牛肉火锅
お湯, おゆ, oyu, hot water, 热水; 开水
水, みず, mizu, water, 水; 凉水
浴衣, ゆかた, yukata, yukata, 浴衣; 夏季和服
景色, けしき, keshiki, scenery, 景色; 风景
薬, くすり, kusuri, medicine, 药
天気, てんき, tenki, weather, 天气
海, うみ, umi, sea, 大海
山, やま, yama, mountain, 山
紙, かみ, kami, paper, 纸
女性, じょせい, josei, woman, 女性
歌舞伎, かぶき, kabuki, kabuki, 歌舞伎
気持ち, きもち, kimochi, feeling; mood, 心情
狭い, せまい, semai, narrow, 狭窄
大きい, おおきい, ookii, big, 大
小さい, ちいさい, chiisai, small, 小
忙しい, いそがしい, isogashii, busy, 忙; 忙碌
いい, いい, ii, good, 好
悪い, わるい, warui, bad, 不好; 坏
素晴らしい, すばらしい, subarashii, wonderful, 极好; 绝佳
遠い, とおい, tooi, far, 远
近い, ちかい, chikai, near, 近
高い, たかい, takai, high; expensive, 高; 贵
低い, ひくい, hikui, low, 低
安い, やすい, yasui, cheap, 便宜
寒い, さむい, samui, cold (weather), 寒冷
暑い, あつい, atsui, hot (weather), (天气)热
青い, あおい, aoi, blue, 蓝色的
白い, しろい, shiroi, white, 白色的
新しい, あたらしい, atarashii, new, 新
古い, ふるい, furui, old, 旧
難しい, むずかしい, muzukashii, difficult, 难
易しい, やさしい, yasashii, easy, 容易
多い, おおい, ooi, many, 多
少ない, すくない, sukunai, few, 少
可愛い, かわいい, kawaii, cute, 可爱
辛い, からい, karai, spicy, 辣
甘い, あまい, amai, sweet, 甜
塩辛い, しおからい, shiokarai, salty, 咸
酸っぱい, すっぱい, suppai, sour, 酸
苦い, にがい, nigai, bitter, 苦
美味しい, おいしい, oishii, delicious, 好吃; 可口
まずい, まずい, mazui, bad-tasting, 不好吃; 难吃
熱い, あつい, atsui, hot (to touch), 热; 烫
冷たい, つめたい, tsumetai, cold (to touch), 凉
楽しい, たのしい, tanoshii, fun; enjoyable, 愉快; 快乐
面白い, おもしろい, omoshiroi, interesting, 有趣; 有意思
つまらない, つまらない, tsumaranai, boring, 无聊
広い, ひろい, hiroi, wide; spacious, 广阔; 宽敞
本当に, ほんとうに, hontou ni, really, 真的; 实在是
あまり, あまり, amari, (not) very, 不很; 不太
とても, とても, totemo, very, 很; 非常
少し, すこし, sukoshi, a little, 一点儿
全然, ぜんぜん, zenzen, (not) at all, 根本(不); 全然(不)
ちょうど, ちょうど, choudo, just; exactly, 正好; 恰好
あら, あら, ara, oh (surprise), 哎呀; 咦
ああ, ああ, aa, ah, 啊
気持ちがいい, きもちがいい, kimochi ga ii, feels good, 感觉舒服; 心情愉快
天安門, てんあんもん, ten'anmon, Tiananmen, 天安门
万里の長城, ばんりのちょうじょう, banri no choujou, Great Wall, 万里长城
紅葉, もみじ, momiji, autumn leaves, 红叶
故郷, こきょう, kokyou, hometown, 故乡
通り, とおり, toori, street, 大街
町, まち, machi, town, 城市; 街道
所, ところ, tokoro, place, 场所
お店, おみせ, omise, shop, 餐馆; 商店
人形, にんぎょう, ningyou, doll, 玩偶
作品, さくひん, sakuhin, work of art, 作品
彫刻, ちょうこく, choukoku, sculpture, 雕刻
道具, どうぐ, dougu, tool, 工具
お菓子, おかし, okashi, sweets, 点心
物, もの, mono, thing, 物品; 东西
修学旅行, しゅうがくりょこう, shuugakuryokou, school trip, 修学旅行
観光客, かんこうきゃく, kankoukyaku, tourist, 游客
作家, さっか, sakka, writer, 作家
平日, へいじつ, heijitsu, weekday, 平日; 非休息日
日, ひ, hi, day, 日子
生活, せいかつ, seikatsu, life, 生活
世界, せかい, sekai, world, 世界
晴れ, はれ, hare, fine weather, 晴天
雨, あめ, ame, rain, 雨
