word, 平仮名, hiragana, english, chinese
届きます, とどきます, todokimasu, to be delivered, 被送达
描きます, かきます, kakimasu, to draw; to paint, 画
貸します, かします, kashimasu, to lend; to rent, 借出
借ります, かります, karimasu, to borrow; to rent, 借入
習います, ならいます, naraimasu, to learn, 学习
教えます, おしえます, oshiemasu, to teach; to tell, 教; 告诉
忘れます, わすれます, wasuremasu, to forget; to leave behind, 忘记; 留下
かけます, かけます, kakemasu, to hang; to put on (glasses), 挂; 打电话
もう, もう, mou, already; anymore, 已经
さっき, さっき, sakki, a little while ago, 刚才
たった今, たったいま, tattaima, just now, 刚刚
もう一度, もういちど, mou ichido, once more, 再一次
前に, まえに, mae ni, before, 之前
後で, あとで, ato de, later, 之后
良かったです, よかったです, yokatta desu, that's good; I'm glad, 太好了; 我很高兴
上げます, あげます, agemasu, to raise; to give, 举起; 给
貰います, もらいます, moraimasu, to receive, 收到
中国人, ちゅうごくじん, chuugokujin, Chinese (person), 中国人
日本人, にほんじん, nihonjin, Japanese (person), 日本人
韓国人, かんこくじん, kankokujin, Korean (person), 韓国人
アメリカ人, アメリカじん, amerikajin, American (person), 美国人
フランス人, フランスじん, furansujin, French (person), 法国人
学生, がくせい, gakusei, (university) student, 大学生
社員, しゃいん, shain, staff member, 职员
研修生, けんしゅうせい, kenshuusei, trainee, 进修生
私, わたし, watashi, I; me, 我
李, り, ri, Li (surname), 李
王, おう, ou, Wang (surname), 王
張, ちょう, chou, Zhang (surname), 张
森, もり, mori, Mori (surname), 森
林, はやし, hayashi, Hayashi (surname), 林
吉田, よしだ, yoshida, Yoshida (surname), 吉田
中国, ちゅうごく, chuugoku, China, 中国
東京大学, とうきょうだいがく, toukyou daigaku, University of Tokyo, 东京大学
北京大学, ぺきんだいがく, pekin daigaku, Peking University, 北京大学
北京旅行社, ぺきんりょこうしゃ, pekin ryokousha, Beijing Travel Agency, 北京旅行社
JC企画, ジェーシーきかく, jeeshii kikaku, JC Planning, JC策划公司
どうも, どうも, doumo, very; thanks, 非常；很
そうです, そうです, sou desu, that's right, 是（这样）
違います, ちがいます, chigaimasu, that's not right, 不是
分かりません, わかりません, wakarimasen, I don't know, 不知道
どうもすみません, どうもすみません, doumo sumimasen, I'm very sorry, 实在对不起
申し訳ございません, もうしわけございません, moushiwake gozaimasen, I'm very sorry (formal), 非常抱歉（正式）
かばん, かばん, kaban, bag; briefcase, 包; 公文包
いす, いす, isu, chair, 椅子
かぎ, かぎ, kagi, key; lock, 钥匙; 锁
会社, かいしゃ, kaisha, company, 公司
本屋, ほんや, honya, bookstore, 书店
ここ, ここ, koko, here; this place, 这里
そこ, そこ, soko, there; that place, 那里
あそこ, あそこ, asoko, over there, 那里
こちら, こちら, kochira, this way; here, 这边
そちら, そちら, sochira, that way; there, 那边
あちら, あちら, achira, that way over there, 那边
どこ, どこ, doko, where, 哪里
どちら, どちら, dochira, which way; where, 哪边
あのう, あのう, anou, um; excuse me, 那个; 请问
東京, とうきょう, toukyou, Tokyo, 东京
いくら, いくら, ikura, how much, 多少钱
近く, ちかく, chikaku, near; nearby, 附近; 近旁
場所, ばしょ, basho, place; location, 所在地; 地方; 场所
会議室, かいぎしつ, kaigishitsu, meeting room, 会议室
図書室, としょしつ, toshoshitsu, library room, 图书室
駅, えき, eki, station, 车站
地下鉄, ちかてつ, chikatetsu, subway, 地铁
木, き, ki, tree, 树; 树木
一人暮らし, ひとりぐらし, hitorigurashi, living alone, 单身生活
あります, あります, arimasu, to exist (inanimate), 有; 在（无意志者）
います, います, imasu, to exist (animate), 有; 在（有意志者）
ええと, ええと, eeto, um; well, 啊; 嗯
横浜, よこはま, yokohama, Yokohama, 横滨
名古屋, なごや, nagoya, Nagoya, 名古屋
大阪, おおさか, oosaka, Osaka, 大阪
今, いま, ima, now; present, 现在
さ来週, さらいしゅう, saraishuu, the week after next, 下下个星期
明後日, あさって, asatte, the day after tomorrow, 后天
前日, ぜんじつ, zenjitsu, the previous day, 前天
今晩, こんばん, konban, tonight, 今天晚上
晩, ばん, ban, evening; night, 晚上
朝, あさ, asa, morning, 早晨
出張, しゅっちょう, shucchou, business trip, 出差
聯歓会, れんかんかい, renkankai, social gathering; get-together, 联欢会
いつも, いつも, itsumo, always; usually, 经常; 总是
おはよう, おはよう, ohayou, good morning, 你早
子供の日, こどものひ, kodomo no hi, Children's Day, 儿童节
まっすぐ, まっすぐ, massugu, straight ahead, 径直; 笔直
北京, ぺきん, pekin, Beijing, 北京
韓国, かんこく, kankoku, South Korea, 韩国
京都, きょうと, kyouto, Kyoto, 京都
渋谷, しぶや, shibuya, Shibuya, 涩谷
新宿, しんじゅく, shinjuku, Shinjuku, 新宿
お茶, おちゃ, ocha, tea, 茶
蕎麦, そば, soba, buckwheat noodles, 荞麦面条
そば屋, そばや, sobaya, soba restaurant, 荞麦面馆
りんご, りんご, ringo, apple, 苹果
いちご, いちご, ichigo, strawberry, 草莓
書きます, かきます, kakimasu, to write, 写
読みます, よみます, yomimasu, to read, 读
じゃあ, じゃあ, jaa, well then, 那么
いらっしゃいませ, いらっしゃいませ, irasshaimase, welcome, 欢迎光临
